ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
1,BOTICÁRIO,1,CABELOS,2018-9-18,20
2,EUDORA,5,HIDRATANTES,2018-9-21,1
5,BELEZA NA WEB,2,PERFUMARIA,2018-2-22,1
4,VULT,3,MAQUIAGEM,2018-8-19,11
2,EUDORA,4,SOLAR,2018-7-8,4
2,EUDORA,5,HIDRATANTES,2018-2-9,16
5,BELEZA NA WEB,4,SOLAR,2018-10-3,1
2,EUDORA,3,MAQUIAGEM,2018-12-25,13
1,BOTICÁRIO,1,CABELOS,2018-8-4,4
3,QUEM DISSE BERENICE,2,PERFUMARIA,2018-10-15,18
1,BOTICÁRIO,3,MAQUIAGEM,2018-9-28,12
2,EUDORA,3,MAQUIAGEM,2018-6-9,16
5,BELEZA NA WEB,5,HIDRATANTES,2018-8-4,20
3,QUEM DISSE BERENICE,3,MAQUIAGEM,2018-10-9,13
4,VULT,3,MAQUIAGEM,2018-9-8,4
2,EUDORA,4,SOLAR,2018-1-1,3
2,EUDORA,1,CABELOS,2018-2-20,2
4,VULT,3,MAQUIAGEM,2018-8-1,7
4,VULT,2,PERFUMARIA,2018-7-17,19
4,VULT,1,CABELOS,2018-9-14,1
1,BOTICÁRIO,5,HIDRATANTES,2018-12-23,3
2,EUDORA,4,SOLAR,2018-6-24,12
1,BOTICÁRIO,2,PERFUMARIA,2018-12-31,1
4,VULT,1,CABELOS,2018-4-28,16
4,VULT,3,MAQUIAGEM,2018-10-8,4
2,EUDORA,2,PERFUMARIA,2018-2-12,13
1,BOTICÁRIO,2,PERFUMARIA,2018-6-18,10
2,EUDORA,1,CABELOS,2018-7-27,9
1,BOTICÁRIO,3,MAQUIAGEM,2018-5-30,15
1,BOTICÁRIO,1,CABELOS,2018-10-10,6
3,QUEM DISSE BERENICE,1,CABELOS,2018-6-23,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,2018-5-10,10
1,BOTICÁRIO,2,PERFUMARIA,2018-6-28,13
4,VULT,2,PERFUMARIA,2018-11-11,20
4,VULT,2,PERFUMARIA,2018-11-30,20
3,QUEM DISSE BERENICE,4,SOLAR,2018-8-15,5
3,QUEM DISSE BERENICE,2,PERFUMARIA,2018-1-14,19
4,VULT,4,SOLAR,2018-7-18,16
2,EUDORA,2,PERFUMARIA,2018-12-2,13
3,QUEM DISSE BERENICE,1,CABELOS,2018-11-14,3
3,QUEM DISSE BERENICE,4,SOLAR,2018-8-8,20
1,BOTICÁRIO,2,PERFUMARIA,2018-7-31,10
3,QUEM DISSE BERENICE,1,CABELOS,2018-11-11,4
3,QUEM DISSE BERENICE,3,MAQUIAGEM,2018-3-7,17
5,BELEZA NA WEB,2,PERFUMARIA,2018-8-16,11
2,EUDORA,3,MAQUIAGEM,2018-10-29,19
3,QUEM DISSE BERENICE,5,HIDRATANTES,2018-12-14,12
2,EUDORA,2,PERFUMARIA,2018-7-13,5
2,EUDORA,3,MAQUIAGEM,2018-1-18,9
3,QUEM DISSE BERENICE,4,SOLAR,2018-9-15,8
3,QUEM DISSE BERENICE,2,PERFUMARIA,2018-1-13,17
5,BELEZA NA WEB,3,MAQUIAGEM,2018-7-11,5
5,BELEZA NA WEB,5,HIDRATANTES,2018-5-30,3
2,EUDORA,2,PERFUMARIA,2018-3-8,13
3,QUEM DISSE BERENICE,3,MAQUIAGEM,2018-5-1,5
3,QUEM DISSE BERENICE,1,CABELOS,2018-7-21,14
5,BELEZA NA WEB,1,CABELOS,2018-1-30,4
1,BOTICÁRIO,4,SOLAR,2018-12-18,19
4,VULT,5,HIDRATANTES,2018-5-16,3
1,BOTICÁRIO,2,PERFUMARIA,2018-10-30,11
5,BELEZA NA WEB,4,SOLAR,2018-4-10,7
2,EUDORA,4,SOLAR,2018-5-30,15
5,BELEZA NA WEB,5,HIDRATANTES,2018-4-28,5
2,EUDORA,3,MAQUIAGEM,2018-1-18,19
5,BELEZA NA WEB,1,CABELOS,2018-6-27,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,2018-10-1,14
2,EUDORA,1,CABELOS,2018-1-15,6
4,VULT,3,MAQUIAGEM,2018-10-28,13
1,BOTICÁRIO,2,PERFUMARIA,2018-10-14,7
3,QUEM DISSE BERENICE,1,CABELOS,2018-9-7,12
3,QUEM DISSE BERENICE,5,HIDRATANTES,2018-6-19,19
3,QUEM DISSE BERENICE,3,MAQUIAGEM,2018-7-28,7
5,BELEZA NA WEB,3,MAQUIAGEM,2018-2-17,6
